votesmart_candidate_id,candidate,election_year,election_description,section,question,option_number,option_text,raw_answer,selected,source_type,source_url
5646,Blaine Galliher,1998,Alabama State Legislative Election 1998 National Political Awareness Test,Abortion,Indicate which principles you support (if any) concerning abortion.,1,a) Abortions should always be legally available.,,False,candidate_supplied_pct_response,https://j.futurefacts.votesmart.io/candidate/political-courage-test/5646/blaine-galliher
5646,Blaine Galliher,1998,Alabama State Legislative Election 1998 National Political Awareness Test,Abortion,Indicate which principles you support (if any) concerning abortion.,2,b) Abortions should be legal only within the first trimester of pregnancy.,,False,candidate_supplied_pct_response,https://j.futurefacts.votesmart.io/candidate/political-courage-test/5646/blaine-galliher
5646,Blaine Galliher,1998,Alabama State Legislative Election 1998 National Political Awareness Test,Abortion,Indicate which principles you support (if any) concerning abortion.,3,"c) Abortions should be legal only when pregnancy resulted from incest, rape, or when the life of the woman is endangered.",X,True,candidate_supplied_pct_response,https://j.futurefacts.votesmart.io/candidate/political-courage-test/5646/blaine-galliher
5646,Blaine Galliher,1998,Alabama State Legislative Election 1998 National Political Awareness Test,Abortion,Indicate which principles you support (if any) concerning abortion.,4,d) Abortions should be legal only when the life of the woman is endangered.,,False,candidate_supplied_pct_response,https://j.futurefacts.votesmart.io/candidate/political-courage-test/5646/blaine-galliher
5646,Blaine Galliher,1998,Alabama State Legislative Election 1998 National Political Awareness Test,Abortion,Indicate which principles you support (if any) concerning abortion.,5,e) Abortions should always be illegal.,,False,candidate_supplied_pct_response,https://j.futurefacts.votesmart.io/candidate/political-courage-test/5646/blaine-galliher
5646,Blaine Galliher,1998,Alabama State Legislative Election 1998 National Political Awareness Test,Abortion,Indicate which principles you support (if any) concerning abortion.,6,f) Abortions should be limited by waiting periods and parental notification requirements.,X,True,candidate_supplied_pct_response,https://j.futurefacts.votesmart.io/candidate/political-courage-test/5646/blaine-galliher
5646,Blaine Galliher,1998,Alabama State Legislative Election 1998 National Political Awareness Test,Abortion,Indicate which principles you support (if any) concerning abortion.,7,"g) Prohibit the late-term abortion procedure known as ""partial-birth"" abortion.",X,True,candidate_supplied_pct_response,https://j.futurefacts.votesmart.io/candidate/political-courage-test/5646/blaine-galliher
5646,Blaine Galliher,1998,Alabama State Legislative Election 1998 National Political Awareness Test,Abortion,Indicate which principles you support (if any) concerning abortion.,8,"h) Support ""buffer zones"" by requiring demonstrators to stay at least 15 feet away from abortion clinic doorways and driveways.",,False,candidate_supplied_pct_response,https://j.futurefacts.votesmart.io/candidate/political-courage-test/5646/blaine-galliher
5646,Blaine Galliher,1998,Alabama State Legislative Election 1998 National Political Awareness Test,Abortion,Indicate which principles you support (if any) concerning abortion.,9,i) Other,,False,candidate_supplied_pct_response,https://j.futurefacts.votesmart.io/candidate/political-courage-test/5646/blaine-galliher
5646,Blaine Galliher,1998,Alabama State Legislative Election 1998 National Political Awareness Test,Abortion,Indicate which principles you support (if any) concerning abortion.,10,j) Should Alabama government funding be provided to clinics and medical facilities that provide abortion services?,No,True,candidate_supplied_pct_response,https://j.futurefacts.votesmart.io/candidate/political-courage-test/5646/blaine-galliher
