ontology_version,review_id,election_year,normalized_option,question,option_text,decision,primary_domain,policy_domains_json,policy_key,effects_json,confidence,reviewer_notes,consensus_status,direction_resolutions_json,review_source
2.0.1,086F985BEC634E5D,2002,provide tax credits for businesses that provide child care for their employees.,"Employment: Indicate which principles you support (if any) concerning employment.Affirmative Action: Should race, ethnicity or gender be taken into account in state agencies' decisions on:",d) Provide tax credits for businesses that provide child care for their employees.,skip,business,"[""business"",""welfare""]",,"[{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""The policy explicitly mentions tax credits for businesses of all sizes.""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""The policy aims to expand access to childcare services, which is a form of welfare support.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,09F1B16E2750CB09,1998,"support ""buffer zones"" by requiring demonstrators to stay at least 15 feet away from abortion clinic doorways and driveways.",Indicate which principles you support (if any) concerning abortion.,"h) Support ""buffer zones"" by requiring demonstrators to stay at least 15 feet away from abortion clinic doorways and driveways.",skip,abortion,"[""abortion"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy restricts access to abortion clinics.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,2E2B3DDA33D38BE7,2018,reducing state employee salaries and/or pensions?,1) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.,a) Reducing state employee salaries AND/OR pensions?,skip,labor,"[""labor"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy is a reduction in the wages of state employees. This will likely result in a decrease in the standard of living for these workers.""},{""axis"":""market_governance"",""pole"":""market_autonomy"",""strength"":""secondary"",""rationale"":""Market autonomy is not directly affected by reducing salaries or pensions.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,2F08B4F9818E6D93,2006,decriminalize the possession of small amounts of marijuana.,Indicate which principles you support (if any) regarding crime.,f) Decriminalize the possession of small amounts of marijuana.,skip,criminal_justice,"[""criminal_justice"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""none""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""none""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,36D1F14014E5B45B,2010,do you support providing financial incentives to farms that produce biofuel crops?,,c) Do you support providing financial incentives to farms that produce biofuel crops?,skip,business,"[""business"",""environment""]",,"[{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""The policy directly incentivizes small-scale farms to engage in biofuel production.""},{""axis"":""resource_development"",""pole"":""expand"",""strength"":""primary"",""rationale"":""The policy aims to expand the production of biofuels, which is a form of resource development.""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""Financial incentives can expand the production of biofuel crops, potentially benefiting farmers and promoting renewable energy.""},{""axis"":""environmental_protection"",""pole"":""weaken"",""strength"":""primary"",""rationale"":""Biofuel crop production may lead to land use changes that weaken environmental protection through habitat destruction or increased water usage.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,37789D41D1E3635D,2014,political action committee,a) Do you support limits on the following types of contributions for state candidates?,2) Political Action Committee,skip,business,"[""business"",""welfare""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""The candidate's position on campaign finance limits is a matter of public policy and should be addressed by the government.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""Limits PAC contributions to reduce the influence of special interest groups on state politics.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,603FD902D633DD46,2014,"do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",,"b) Do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",skip,business,"[""business"",""environment""]",,"[{""axis"":""business_scale_alignment"",""pole"":""large_business"",""strength"":""primary"",""rationale"":""The policy directly supports the development of energy sources that are typically large-scale and often involve significant capital investment.""},{""axis"":""resource_development"",""pole"":""expand"",""strength"":""primary"",""rationale"":""The policy explicitly aims to expand the development of traditional domestic energy sources, which are typically associated with resource extraction and production.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""State funding for traditional domestic energy sources may be seen as a restriction on the expansion of renewable or alternative energy sources.""},{""axis"":""environmental_protection"",""pole"":""weaken"",""strength"":""primary"",""rationale"":""Supporting state funding for coal, natural gas, and oil could weaken environmental protection efforts by prioritizing these traditional domestic energy sources over more environmentally friendly alternatives.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,675D5E71D85475BC,2010,instituting mandatory furloughs and layoffs for state employees,1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,e) Instituting mandatory furloughs and layoffs for state employees,skip,labor,"[""labor"",""welfare""]",,"[{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""secondary"",""rationale"":""The policy directly impacts labor by reducing the workforce through mandatory furloughs and layoffs.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""Mandatory furloughs and layoffs are a form of government intervention in the workforce, reducing employee availability to perform their duties.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""primary"",""rationale"":""Furloughs and layoffs restrict state employees' ability to work, impacting their welfare by limiting job opportunities and income.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,7C88115BF8597BFE,2014,income taxes (mid-income families),"1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",h) Income taxes (mid-income families),skip,taxation,"[""taxation"",""welfare""]",,"[{""axis"":""tax_distribution"",""pole"":""regressive"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""The policy aims to expand welfare support for mid-income families through income tax reform.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,7D3BFAF4AB67E2B6,2014,do you support the enforcement of federal immigration laws by state and local police?,,f) Do you support the enforcement of federal immigration laws by state and local police?,skip,criminal_justice,"[""criminal_justice"",""immigration""]",,"[{""axis"":""immigration_access"",""pole"":""expand"",""strength"":""secondary"",""rationale"":""support for enforcing federal immigration laws by state and local police""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""Enforcing federal immigration laws by state and local police is a restriction on the rights of immigrants, which falls under welfare policy.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
