amendment_id,human_issue_code,revision_direction,ideological_valence,candidate_position,confidence,review_status,position_evidence_allowed,review_note
49103,criminal_justice,mixed_narrowing_and_discretion,indeterminate,"Narrowed image-distribution liability by requiring intent to harass, threaten, coerce, or intimidate; added a statutory nudity definition; and allowed sentencing courts to exempt counseled juveniles adjudicated under the Alabama Child Pornography Act from the chapter. Large deleted passages cannot be characterized without the referenced bill version.",medium,reviewed,true,"Reviewed against the amendment PDF text. Known insertions narrow intent requirements and add juvenile judicial discretion, but deletions of referenced lines prevent a complete directional characterization."
49016,lgbtq_cultural,adds_nondiscrimination_requirement,progressive,"Proposed barring any state-funded child-placing agency from discriminating on the basis of race, color, religion, national origin, ethnicity, sex, sexual orientation, gender identity or expression, disability, or age.",high,reviewed,true,"The amendment adds a complete, self-contained nondiscrimination section to HB24. Both model reviews agree on the operative effect; the amendment text independently supports it."
49275,abortion,adds_state_child_support_obligation,progressive,"Proposed making the state responsible for all reasonable costs through majority for a child whose mother certified that she otherwise would have obtained an abortion.",medium,reviewed,true,"The operative fiscal provision is explicit. It appears to be a pro-choice accountability amendment to HB98, but the position summary states only the proposal itself because rhetorical intent cannot be established from amendment text alone."
50016,ethics_government,context_insufficient,indeterminate,"The fragment inserts 'public official or' into the HB334 committee substitute, but the referenced substitute is absent, so its operative effect cannot be established.",low,reviewed,false,"The introduced and engrossed versions were checked in the completed archive. Neither reconstructs page 6 line 14 of the committee substitute, and the amendment was not incorporated into the engrossed text. Model interpretations therefore overstate what the fragment supports."
50080,criminal_justice,substitutes_police_force_reporting_system,progressive,"Proposed statewide collection of all excessive-force allegations, including officer and victim race and case outcomes, with annual reporting to legislative oversight committees.",high,reviewed,true,"This is a complete substitute for HB50 rather than a line fragment. Its findings, mandatory data fields, and reporting duties directly establish a police-accountability and transparency position."
50937,occupational_licensing,creates_conditional_local_regulatory_exemptions,conservative,"Proposed streamlined, no-fee exemptions from ordinary Mobile County food-service regulation for intermittent cultural-event vendors, church fundraisers, and certain crawfish boils while retaining basic food-safety conditions.",high,reviewed,true,"The complete substitute explicitly reduces regulatory burdens for intermittent and community food vendors. The conservative valence is limited to regulatory relief; its local cultural-event focus is also recorded in the position summary."
52583,ethics_government,exempts_class_2_municipality,indeterminate,"Proposed excluding Class 2 municipalities—Mobile—from HB136's authorization for municipalities to change council size and election structure.",high,reviewed,true,"The archived introduced HB136 establishes the referenced council-composition changes. Read together, the amendment clearly preserves a separate rule for Mobile, but the text does not support a left-right ideological interpretation."
52712,ethics_government,reassigns_rejected_absentee_ballot_notice,indeterminate,"Proposed assigning local boards of registrars responsibility for rejected-absentee-ballot notices and records, and requiring sheriffs to collect rejected ballots within 10 days after an election.",high,reviewed,true,"The amendment is explicit about election-administration duties. It supports a concrete administrative position but no defensible left-right valence."
61640,infrastructure_energy,allows_capped_state_federal_broadband_coordination,indeterminate,"Proposed allowing state broadband grants to supplement federally funded projects only to extend service to otherwise unserved rural areas or raise service to at least 25/3 Mbps, capped at 40% of grant funds and 20% of project cost.",high,reviewed,true,"The amendment both expands eligibility for coordinated state-federal projects and limits permissible uses and award size. It is strong evidence of a rural-broadband priority but not a simple ideological direction."
61675,environment,exempts_historic_vessels,indeterminate,"Proposed excluding vessels built before 1918 from SB50's regulated definition, shielding historic vessels from the bill's abandoned-or-derelict-vessel enforcement framework.",high,reviewed,true,"The exemption is explicit. The archived bill description supplies the abandoned/derelict-vessel context; the amendment shows a narrow historic-vessel priority without a left-right valence."
