ontology_version,review_id,election_year,section,question,option_text,candidate_count,stage,model,primary_domain,policy_key,plain_english_policy,substantive,confidence,evidence_quote,needs_human_review,review_reason,effects_json,effect_signature,evidence_quote_verified,classification_error,classification_cache
2.0.1,B4C11C285F3DA7B1,1998,Health Issues,Indicate which principles you support (if any) regarding health issues.,a) Provide tax incentives to small businesses that provide health care to their employees.,54,initial,gemma2:2b,healthcare,employer_incentive,Tax credit for employers that provide healthcare to their employees.,False,high,Provide tax incentives to small businesses that provide health care to their employees.,False,Tax credits for employers who offer healthcare benefits are a common policy tool. This option suggests the government should incentivize this behavior.,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""primary""}]","[[""business_scale_alignment"", ""small_business""], [""welfare_policy"", ""expansion""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_B4C11C285F3DA7B1_gemma2_2b.json
2.0.1,9420CEB59F3A5B54,1998,Social Issues,Indicate which principles you support (if any) regarding social issues.,b) Provide tax credits for businesses that provide child care for their employees.,49,initial,gemma2:2b,welfare,childcare_delivery,Employer incentive to provide childcare,False,high,Provide tax credits for businesses that provide child care for their employees.,False,The policy directly incentivizes employers to offer childcare benefits. This is a clear indication of the policy's focus on labor and its potential impact on employee well-being.,"[{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""The policy explicitly mentions tax credits for businesses that provide childcare. This suggests a focus on small businesses, as they are more likely to be impacted by the cost of childcare.""},{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""primary"",""rationale"":""The policy aims to incentivize employers to provide childcare, which benefits employees and potentially reduces labor turnover. This aligns with the labor side of the alignment.""}]","[[""business_scale_alignment"", ""small_business""], [""labor_capital_alignment"", ""labor""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_9420CEB59F3A5B54_gemma2_2b.json
2.0.1,DC24DA6CE8CE0373,1998,Social Issues,Indicate which principles you support (if any) regarding social issues.,d) Deny or suspend state-issued permits and licenses to parents who are delinquent in paying court-ordered child support.,47,initial,gemma2:2b,childcare,family_support_enforcement,Family Support Enforcement,False,high,Deny or suspend state-issued permits and licenses to parents who are delinquent in paying court-ordered child support.,False,This policy directly restricts access to resources for parents who fail to pay child support. This is a restriction on access to resources.,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""This policy restricts the ability of parents to obtain licenses and permits. This is a restriction on access to resources.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""This policy could impact small businesses that rely on state-issued permits and licenses. This is a restriction on access to resources.""}]","[[""business_scale_alignment"", ""small_business""], [""welfare_policy"", ""restriction""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_DC24DA6CE8CE0373_gemma2_2b.json
2.0.1,63383E8D3ECED2DE,1998,Welfare,Indicate which principles you support (if any) regarding welfare.,d) Provide tax incentives to businesses that hire welfare recipients.,47,initial,gemma2:2b,welfare,business_scale_alignment,Provide tax incentives to businesses that hire welfare recipients.,False,high,Provide tax incentives to businesses that hire welfare recipients.,False,This option suggests a policy aimed at incentivizing businesses to hire individuals receiving welfare. This aligns with the concept of market-based solutions for social welfare programs.,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""business_scale_alignment""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""business_scale_alignment""}]","[[""market_governance"", ""intervention""], [""welfare_policy"", ""expansion""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_63383E8D3ECED2DE_gemma2_2b.json
2.0.1,9D9EDCB0385C047E,1998,Education,Indicate which principles you support (if any) regarding education.,j) Support state-funded merit scholarships for Alabama students to attend college in Alabama.,46,initial,gemma2:2b,education,merit_scholarships,Support state-funded merit scholarships for Alabama students to attend college in Alabama.,False,high,Support state-funded merit scholarships for Alabama students to attend college in Alabama.,False,This option supports the expansion of a program that provides financial assistance to students. This is likely to have positive effects on both business and welfare policy.,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""secondary""}]","[[""business_scale_alignment"", ""small_business""], [""welfare_policy"", ""expansion""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_9D9EDCB0385C047E_gemma2_2b.json
2.0.1,850172B3EBD601E2,1998,Economy and Employment,Indicate which principles you support (if any) concerning the economy and employment.,e) Provide increased funding for agricultural and forestry research.,43,initial,gemma2:2b,economy,business_scale_alignment,Provide increased funding for agricultural and forestry research.,False,high,increased funding for agricultural and forestry research.,False,This option suggests a policy that would increase investment in research. This is likely to have positive effects on the economy as it could lead to new technologies and innovations.,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""research is a key factor in economic growth and development.""}]","[[""welfare_policy"", ""expansion""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_850172B3EBD601E2_gemma2_2b.json
2.0.1,86F73CED0D2C803E,2006,Budget and Tax Issues,State Budget: Indicate the funding levels (#1-6) you will support for the following general categories. Select one level per category.State Taxes: Indicate the tax levels (#1-6) you will support. Select one level per tax.,c) Emergency preparedness,34,initial,gemma2:2b,government_reform,state_budget,Funding levels for emergency preparedness.,False,high,State Taxes: Indicate the tax levels (#1-6) you will support. Select one level per tax.,False,"The question asks for funding levels for emergency preparedness, which is a public service that should be funded by the government.","[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""emergency preparedness is a public service that should be funded by the government.""}]","[[""welfare_policy"", ""expansion""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_86F73CED0D2C803E_gemma2_2b.json
2.0.1,AE7AFBFDADB8713B,2006,Budget and Tax Issues,State Budget: Indicate the funding levels (#1-6) you will support for the following general categories. Select one level per category.State Taxes: Indicate the tax levels (#1-6) you will support. Select one level per tax.,n) Should fee increases be used to balance the state budget?,34,initial,gemma2:2b,taxation,tax_distribution,Should fee increases be used to balance the state budget?,False,low,n/a,False,The question asks for a policy on how to balance the state budget. This is a tax-related issue and not a direct policy statement.,"[{""axis"":""tax_distribution"",""pole"":""regressive"",""strength"":""secondary"",""rationale"":""secondary""}]","[[""tax_distribution"", ""regressive""]]",False,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_AE7AFBFDADB8713B_gemma2_2b.json
2.0.1,086F985BEC634E5D,2002,Employment and Affirmative Action Issues,"Employment: Indicate which principles you support (if any) concerning employment.Affirmative Action: Should race, ethnicity or gender be taken into account in state agencies' decisions on:",d) Provide tax credits for businesses that provide child care for their employees.,31,initial,gemma2:2b,business,employer_incentive,Tax credits for businesses that provide childcare for their employees.,False,high,"Should race, ethnicity or gender be taken into account in state agencies' decisions on: d) Provide tax credits for businesses that provide child care for their employees.",False,The policy directly addresses the provision of childcare services to employees. This is a clear indication of support for expanding access to childcare.,"[{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""The policy explicitly mentions tax credits for businesses of all sizes.""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""The policy aims to expand access to childcare services, which is a form of welfare support.""}]","[[""business_scale_alignment"", ""small_business""], [""welfare_policy"", ""expansion""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_086F985BEC634E5D_gemma2_2b.json
2.0.1,67A1A9458B0C5345,2002,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,c) Provide tax incentives to businesses that hire welfare recipients.,29,initial,gemma2:2b,welfare,business_scale_alignment,small_business,False,high,Provide tax incentives to businesses that hire welfare recipients.,False,This option suggests a policy aimed at incentivizing businesses to hire individuals receiving welfare benefits. This aligns with the concept of promoting economic activity and employment opportunities for those in need.,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""secondary""}]","[[""market_governance"", ""intervention""], [""welfare_policy"", ""expansion""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_67A1A9458B0C5345_gemma2_2b.json
