anonymous_case_id,dimension,reviewer_code,reviewer_confidence,reviewer_note,person_id,candidate,election_cycle,current_numeric_code,code_agrees
CASE-25EED9A96C,economic_ideology,-1,medium,Public-investment and public-school emphasis relative to the caucus.,ALPERSON-JOHN-JODY-LETSON,John (Jody) Letson,2014,-1.0,True
CASE-25EED9A96C,labor_position,-1,medium,Organizational support suggests alignment but is weaker than a vote record.,ALPERSON-JOHN-JODY-LETSON,John (Jody) Letson,2014,-1.0,True
CASE-3F2CCBB5FA,economic_ideology,-1,high,Public education and opposition to the Accountability Act.,ALPERSON-DARRELL-TURNER,Darrell Turner,2014,-1.0,True
CASE-3F2CCBB5FA,labor_position,-2,high,Organized-labor leadership was central to the candidate identity.,ALPERSON-DARRELL-TURNER,Darrell Turner,2014,-2.0,True
CASE-1EC5602ADB,abortion_position,-1,medium,Indirect but directional support for protecting reproductive choice.,ALPERSON-KIM-CAUDLE-LEWIS,Kim Caudle Lewis,2022,-1.0,True
CASE-1EC5602ADB,economic_ideology,-1,medium,Education priority and concern about stagnation indicate modest public-investment support.,ALPERSON-KIM-CAUDLE-LEWIS,Kim Caudle Lewis,2022,-1.0,True
CASE-2E5602F68F,economic_ideology,-1,high,Direct platform supports public schools and Medicaid expansion while opposing public funding for private schools.,ALPERSON-ANDREW-ANDY-BETTERTON,"Andrew ""Andy"" Betterton",2014,-1.0,True
CASE-622D164966,economic_ideology,-1,medium,Public-education reform priority indicates modest public-investment orientation but limited economic scope.,ALPERSON-DAVID-COACH-BURKETTE,"David ""Coach"" Burkette",2018,-1.0,True
CASE-622D164966,labor_position,-1,medium,Education-union campaign support indicates alignment but is weaker than policy or voting evidence.,ALPERSON-DAVID-COACH-BURKETTE,"David ""Coach"" Burkette",2018,-1.0,True
CASE-78790E22E0,overall_ideological_valence,2,low,Contemporary source explicitly calls the candidate highly conservative but is partisan and nonspecific.,ALPERSON-RANDALL-WHITE,Randall White,2010,1.0,False
CASE-8D74E3DE3E,labor_position,-1,medium,Education-union contribution indicates limited organizational alignment.,ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,-1.0,True
CASE-974E50234E,labor_position,-1,medium,Substantial and repeated education-union support indicates alignment without direct policy evidence.,ALPERSON-JOHN-ROBINSON,John Robinson,2014,-1.0,True
CASE-974E50234E,overall_ideological_valence,2,high,Pre-election ideal point places the candidate near the strongly conservative edge of the reference caucus.,ALPERSON-JOHN-ROBINSON,John Robinson,2014,1.0,False
CASE-9C2E2CFC97,labor_position,-1,medium,Large education-union contribution indicates alignment despite refund and gross-total ambiguity.,ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,-1.0,True
