canonical_candidate_id,person_id,candidate_name,election_cycle,primitive_axis,adjudicated_issue_valence,adjudication_status,controlling_evidence_scope,controlling_records,controlling_source_types,post_adjudication_conflict_ratio
AL-1994-house-1-D-STARKEY,ALPERSON-STARKEY,Starkey,1994.0,education_public_funding,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,legislative_proposal,0.0
AL-1994-house-1-D-STARKEY,ALPERSON-STARKEY,Starkey,1994.0,tax_burden,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,legislative_proposal,0.0
AL-1994-house-42-D-SMITH,ALPERSON-SMITH,Smith,1994.0,criminal_punishment,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,public_statement,0.0
AL-1994-house-46-R-CARNS,ALPERSON-CARNS,Carns,1994.0,welfare_generosity,-1.0,adjudicated_opposition_to_named_pole,issue_specific_group_signals,1,legislative_proposal,0.0
AL-1994-house-53-D-NEWTON,ALPERSON-NEWTON,Newton,1994.0,anti_discrimination,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,candidate_biography,0.0
AL-1994-house-53-D-NEWTON,ALPERSON-NEWTON,Newton,1994.0,government_ethics_transparency,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,legislative_disclosure_action,0.0
AL-1994-house-65-D-DOLBARE,ALPERSON-DOLBARE,Dolbare,1994.0,healthcare_access,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,legislative_budget_sponsorship,0.0
AL-1994-house-65-D-DOLBARE,ALPERSON-DOLBARE,Dolbare,1994.0,tax_burden,-1.0,adjudicated_opposition_to_named_pole,issue_specific_group_signals,1,bill_sponsorship,0.0
AL-1994-house-87-D-MATHIS,ALPERSON-MATHIS,Mathis,1994.0,abortion_access,-1.0,adjudicated_opposition_to_named_pole,direct_candidate_behavior_or_statement,1,candidate_questionnaire,0.0
AL-1994-house-87-D-MATHIS,ALPERSON-MATHIS,Mathis,1994.0,abortion_public_funding,-1.0,adjudicated_opposition_to_named_pole,direct_candidate_behavior_or_statement,1,candidate_questionnaire,0.0
AL-1994-house-87-D-MATHIS,ALPERSON-MATHIS,Mathis,1994.0,business_subsidy,1.0,adjudicated_alignment_with_named_pole,direct_candidate_behavior_or_statement,1,candidate_questionnaire,0.0
AL-1994-house-87-D-MATHIS,ALPERSON-MATHIS,Mathis,1994.0,campaign_finance_restrictions,1.0,adjudicated_alignment_with_named_pole,direct_candidate_behavior_or_statement,1,candidate_questionnaire,0.0
AL-1994-house-87-D-MATHIS,ALPERSON-MATHIS,Mathis,1994.0,childcare_support,1.0,adjudicated_alignment_with_named_pole,direct_candidate_behavior_or_statement,1,candidate_questionnaire,0.0
AL-1994-house-87-D-MATHIS,ALPERSON-MATHIS,Mathis,1994.0,criminal_punishment,1.0,adjudicated_alignment_with_named_pole,direct_candidate_behavior_or_statement,1,candidate_questionnaire,0.0
AL-1994-house-87-D-MATHIS,ALPERSON-MATHIS,Mathis,1994.0,education_public_funding,1.0,adjudicated_alignment_with_named_pole,direct_candidate_behavior_or_statement,1,candidate_questionnaire,0.0
AL-1994-house-87-D-MATHIS,ALPERSON-MATHIS,Mathis,1994.0,healthcare_access,1.0,adjudicated_alignment_with_named_pole,direct_candidate_behavior_or_statement,1,candidate_questionnaire,0.0
AL-1994-house-87-D-MATHIS,ALPERSON-MATHIS,Mathis,1994.0,incarceration,-1.0,adjudicated_opposition_to_named_pole,direct_candidate_behavior_or_statement,1,candidate_questionnaire,0.0
AL-1994-house-87-D-MATHIS,ALPERSON-MATHIS,Mathis,1994.0,marriage_equality,-1.0,adjudicated_opposition_to_named_pole,direct_candidate_behavior_or_statement,1,candidate_questionnaire,0.0
AL-1994-house-87-D-MATHIS,ALPERSON-MATHIS,Mathis,1994.0,tax_distribution,1.0,adjudicated_alignment_with_named_pole,direct_candidate_behavior_or_statement,1,candidate_questionnaire,0.0
AL-1994-house-87-D-MATHIS,ALPERSON-MATHIS,Mathis,1994.0,welfare_conditionality,1.0,adjudicated_alignment_with_named_pole,direct_candidate_behavior_or_statement,1,candidate_questionnaire,0.0
AL-1994-house-87-R-SEIBENHENER,ALPERSON-SEIBENHENER,Seibenhener,1994.0,gambling_policy,-1.0,adjudicated_opposition_to_named_pole,issue_specific_group_signals,1,public_statement,0.0
AL-1994-house-95-R-MCMILLAN,ALPERSON-MCMILLAN,Mcmillan,1994.0,direct_democracy,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,legislative_proposal,0.0
AL-1994-house-96-D-BOX,ALPERSON-BOX,Box,1994.0,federalism,-1.0,adjudicated_opposition_to_named_pole,issue_specific_group_signals,1,congressional_testimony,0.0
AL-1994-senate-12-D-GHEE,ALPERSON-GHEE,Ghee,1994.0,criminal_punishment,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,legislative_record_candidate_profile,0.0
AL-1994-senate-12-R-JAMES,ALPERSON-JAMES,James,1994.0,deficit_discipline,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,candidate_interview,0.0
AL-1994-senate-18-D-SMITHERMAN,ALPERSON-SMITHERMAN,Smitherman,1994.0,education_public_funding,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,candidate_campaign_pledge,0.0
AL-1994-senate-18-D-SMITHERMAN,ALPERSON-SMITHERMAN,Smitherman,1994.0,welfare_generosity,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,candidate_campaign_pledge,0.0
AL-1994-senate-18-R-HORN,ALPERSON-HORN,Horn,1994.0,education_public_funding,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,legislative_initiative,0.0
AL-1994-senate-23-D-SANDERS,ALPERSON-SANDERS,Sanders,1994.0,education_public_funding,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,official_biography,0.0
AL-1994-senate-23-D-SANDERS,ALPERSON-SANDERS,Sanders,1994.0,tax_burden,-1.0,adjudicated_opposition_to_named_pole,issue_specific_group_signals,2,bill_sponsorship|official_biography,0.0
AL-1994-senate-23-D-SANDERS,ALPERSON-SANDERS,Sanders,1994.0,tax_distribution,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,bill_sponsorship,0.0
AL-1994-senate-27-D-LITTLE,ALPERSON-LITTLE,Little,1994.0,healthcare_public_responsibility,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,candidate_campaign_position,0.0
AL-1994-senate-32-R-LIPSOCOMB,ALPERSON-LIPSOCOMB,Lipsocomb,1994.0,abortion_access,-1.0,adjudicated_opposition_to_named_pole,issue_specific_group_signals,1,legislative_position,0.0
AL-1994-senate-32-R-LIPSOCOMB,ALPERSON-LIPSOCOMB,Lipsocomb,1994.0,bioethics_end_of_life,-1.0,adjudicated_opposition_to_named_pole,issue_specific_group_signals,1,legislative_position,0.0
AL-1994-senate-32-R-LIPSOCOMB,ALPERSON-LIPSOCOMB,Lipsocomb,1994.0,gambling_policy,-1.0,adjudicated_opposition_to_named_pole,issue_specific_group_signals,1,legislative_position,0.0
AL-1998-house-1-D-STARKEY,ALPERSON-STARKEY,Starkey,1998.0,abortion_access,-0.2,adjudicated_substantively_mixed,direct_candidate_behavior_or_statement,5,candidate_questionnaire,0.6666666666666666
AL-1998-house-1-D-STARKEY,ALPERSON-STARKEY,Starkey,1998.0,anti_discrimination,-1.0,adjudicated_opposition_to_named_pole,direct_candidate_behavior_or_statement,4,candidate_questionnaire,0.0
AL-1998-house-1-D-STARKEY,ALPERSON-STARKEY,Starkey,1998.0,childcare_support,1.0,adjudicated_alignment_with_named_pole,direct_candidate_behavior_or_statement,1,candidate_questionnaire,0.0
