bill_id,session_year,bill_number,reviewed_document_type,confidence,rationale,reviewer,review_date,supersedes_authority,decision,primitive_axes,policy_poles,review_reason
1327222,2020,SB79,official_synopsis,high,Allowing longer enrollment periods expands the availability of childcare for families needing extended care.,gpt-5.6-luna,2026-09-08,frontier_manual_review,mixed_no_scalar_direction,,,invalid_axis_pole:unknown primitive axis: childcare_access
1060535,2018,HB216,official_synopsis,low,Allowing certain motorcycles and bicycles to proceed through red lights expands their freedom from traffic-control restrictions.,gpt-5.6-luna,2026-09-08,frontier_manual_review,map,civil_social_liberty,expand,low_confidence_admitted_mapping
1248532,2019,HB334,official_synopsis,low,"The bill further specifies statutory exemptions from taxation, indicating reduced tax obligations for covered entities.",gpt-5.6-luna,2026-09-08,frontier_manual_review,map,tax_burden,decrease,low_confidence_admitted_mapping
1250623,2019,SB251,official_synopsis,low,Mandatory sensitivity training for law enforcement indicates an expansion of institutional anti-discrimination requirements.,gpt-5.6-luna,2026-09-08,frontier_manual_review,map,anti_discrimination,expand,low_confidence_admitted_mapping
1256416,2019,HB555,official_synopsis,low,Creating a state utility-deposit guarantee program increases public intervention in utility-market transactions.,gpt-5.6-luna,2026-09-08,frontier_manual_review,map,market_governance,intervention,low_confidence_admitted_mapping
1491951,2021,HB599,official_synopsis,low,Removing criminal-offense status and a specified penalty for transporting feral swine reduces punitive enforcement.,gpt-5.6-luna,2026-09-08,frontier_manual_review,map,criminal_punishment,rehabilitative,low_confidence_admitted_mapping
1578824,2022,HB176,official_synopsis,low,Authorizing 18-to-20-year-olds to serve alcohol expands their permitted employment activity.,gpt-5.6-luna,2026-09-08,frontier_manual_review,map,civil_social_liberty,expand,low_confidence_admitted_mapping
2021827,2025,SB316,official_synopsis,low,Creating a new state-controlled alcohol license places the activity within an expanded licensing regime.,gpt-5.6-luna,2026-09-08,frontier_manual_review,map,market_governance,intervention,low_confidence_admitted_mapping
2073726,2026,HB196,official_synopsis,low,"The bill requires public high schools to facilitate voluntary military aptitude testing, supporting military recruitment and preparedness.",gpt-5.6-luna,2026-09-08,frontier_manual_review,map,security_preparedness,expand,low_confidence_admitted_mapping
2089018,2026,SB188,official_synopsis,low,A presumption of unlawful use of force under specified conditions would constrain self-defense protections.,gpt-5.6-luna,2026-09-08,frontier_manual_review,map,civil_social_liberty,restrict,low_confidence_admitted_mapping
291787,2011,HB20,official_synopsis,low,The amendment limits political subdivision involvement in banking and removes special constitutional banking restrictions.,gpt-5.6-luna,2026-09-08,frontier_manual_review,map,market_governance,market_autonomy,low_confidence_admitted_mapping
414224,2012,HB535,official_synopsis,low,The constitutional amendment repeals an existing constitutional provision governing legislative senatorial-district apportionment.,gpt-5.6-luna,2026-09-08,frontier_manual_review,map,constitutional_reform,reform,low_confidence_admitted_mapping
421565,2012,SB538,official_synopsis,low,"The bill authorizes adults to home-brew limited amounts of beer, mead, cider, and wine for personal use.",gpt-5.6-luna,2026-09-08,frontier_manual_review,map,civil_social_liberty,expand,low_confidence_admitted_mapping
592130,2014,HB285,official_synopsis,low,"The bill promotes employment for individuals with disabilities through state programs and services, indicating a public-provision approach.",gpt-5.6-luna,2026-09-08,frontier_manual_review,map,public_private_provision,public_provision,low_confidence_admitted_mapping
639015,2014,HB613,official_synopsis,low,"The bill establishes a custody rule limiting consideration of military deployment, directing courts toward a stricter protection of military service-related family arrangements.",gpt-5.6-luna,2026-09-08,frontier_manual_review,map,family_support_enforcement,strict_enforcement,low_confidence_admitted_mapping
767873,2015,SB354,official_synopsis,low,Limiting trap-related liability to public land narrows private-land liability exposure.,gpt-5.6-luna,2026-09-08,frontier_manual_review,map,land_use_property_rights,property_rights,low_confidence_admitted_mapping
96700,2010,HB460,official_synopsis,low,The bill removes a statutory prohibition on deputy sheriffs practicing law.,gpt-5.6-luna,2026-09-08,frontier_manual_review,map,civil_social_liberty,expand,low_confidence_admitted_mapping
