election_year,section,question,option_text,policy_key,dimension,affirmative_direction,coding_confidence,response_mode,coding_status
2014.0,Abortion & Reproductive Issues:,,a) Do you generally support pro-choice or pro-life legislation?,abortion_general_pro_life,abortion_position,1.0,high,binary,rule_mapped
2014.0,Abortion & Reproductive Issues:,,b) Should abortions be illegal after the first trimester of pregnancy?,abortion_after_first_trimester_ban,abortion_position,1.0,medium,binary,rule_mapped
2014.0,Abortion & Reproductive Issues:,,c) Should abortion be legal when the pregnancy resulted from incest or rape?,abortion_rape_incest_exception,abortion_position,-1.0,medium,binary,rule_mapped
2014.0,Abortion & Reproductive Issues:,,d) Should abortion be legal when the life of the woman is endangered?,abortion_life_exception,abortion_position,-1.0,medium,binary,rule_mapped
2014.0,Abortion & Reproductive Issues:,,e) Do you support requiring parental notification before an abortion is performed on a minor?,abortion_parental_notification,abortion_position,1.0,high,binary,rule_mapped
2014.0,Abortion & Reproductive Issues:,,f) Do you support requiring parental consent before an abortion is performed on a minor?,abortion_parental_consent,abortion_position,1.0,high,binary,rule_mapped
2014.0,Abortion & Reproductive Issues:,,g) Do you support the prohibition of public funds for abortion procedures?,abortion_public_funding_prohibition,abortion_position,1.0,high,binary,rule_mapped
2014.0,Abortion & Reproductive Issues:,,h) Do you support the prohibition of public funds for organizations that perform abortions?,abortion_public_funding_prohibition,abortion_position,1.0,high,binary,rule_mapped
2014.0,Abortion & Reproductive Issues:,,i) Other or expanded principles:,,,,,,unmapped
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",a) Education (higher),spending_higher_education,education_position,-1.0,high,ordinal,rule_mapped
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",b) Education (K-12),spending_k12_education,education_position,-1.0,high,ordinal,rule_mapped
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",c) Environment,spending_environment,environment_position,-1.0,high,ordinal,rule_mapped
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Health care,spending_healthcare,healthcare_position,-1.0,high,ordinal,rule_mapped
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Law enforcement/corrections,,,,,,unmapped
