candidate_issues,session_year,chamber,bill_number,bill_id,roll_call_id,vote_date,vote_description,title,description,dem_yea_share,rep_yea_share,party_gap,yea,nay,url,state_link,human_issue_code,policy_direction_of_yea,substantive_vote,review_note,session_id,session_name,doc_id,document_date,document_type,mime,text_size,text_hash,source_archive,document_date_parsed,type_rank,download_status,local_pdf,download_sha256,local_text,page_count,extracted_characters
immigration,2025,house,HB7,1886217,1551124,2025-04-17,Third Reading in House of Origin,"Illegal immigration; procedures for arrest, detention, transportation of illegal aliens provided for; reporting requirements established","Illegal immigration; procedures for arrest, detention, transportation of illegal aliens provided for; reporting requirements established",0.0,1.0,1.0,74,21,https://legiscan.com/AL/text/HB7/id/3215405,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB7-eng.pdf,,,,,2148,2025 Regular Session,3215405,2025-04-17,Engrossed,application/pdf,108758,a392f0b00c16ee6a1ad97eee68baff37,AL_2025-2025_Regular_Session_JSON_20250606_8b02a5b94867a13e6a5ddf91374d9628.zip,2025-04-17,3,downloaded,data\raw\legiscan\bill_text_pilot\3215405.pdf,3711724be1b68ae5ae59205c39eb8fabafd9caed03e9055fd2964f159321ae05,data\processed\legislative\bill_text_pilot\3215405.txt,11,14411
infrastructure,2025,house,HB7,1886217,1551126,2025-04-17,Motion to Read a Third Time and Pass as Amended - Roll Call 883,"Illegal immigration; procedures for arrest, detention, transportation of illegal aliens provided for; reporting requirements established","Illegal immigration; procedures for arrest, detention, transportation of illegal aliens provided for; reporting requirements established",0.0,1.0,1.0,74,26,https://legiscan.com/AL/text/HB7/id/3215405,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB7-eng.pdf,,,,,2148,2025 Regular Session,3215405,2025-04-17,Engrossed,application/pdf,108758,a392f0b00c16ee6a1ad97eee68baff37,AL_2025-2025_Regular_Session_JSON_20250606_8b02a5b94867a13e6a5ddf91374d9628.zip,2025-04-17,3,cached,data\raw\legiscan\bill_text_pilot\3215405.pdf,3711724be1b68ae5ae59205c39eb8fabafd9caed03e9055fd2964f159321ae05,data\processed\legislative\bill_text_pilot\3215405.txt,11,14411
public_education,2025,house,HB244,1965457,1551793,2025-04-17,Motion to Add Cosponsor - Roll Call 893,"Public K-12 education, discussions of gender identity prohibited in grades preK-12, employees prohibited from displaying flags or insignia relating to sexual orientation or gender identity, employees prohibited from referring to student by pronouns inconsistent with student's biological sex","Public K-12 education, discussions of gender identity prohibited in grades preK-12, employees prohibited from displaying flags or insignia relating to sexual orientation or gender identity, employees prohibited from referring to student by pronouns inconsistent with student's biological sex",0.0,1.0,1.0,22,2,https://legiscan.com/AL/text/HB244/id/3215328,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB244-eng.pdf,,,,,2148,2025 Regular Session,3215328,2025-04-17,Engrossed,application/pdf,91708,4544beed97c2290f192e99c71c223d4b,AL_2025-2025_Regular_Session_JSON_20250606_8b02a5b94867a13e6a5ddf91374d9628.zip,2025-04-17,3,downloaded,data\raw\legiscan\bill_text_pilot\3215328.pdf,fb0fac787fc5e9f5ec3efebee8943e561d987efe070d6159a2bb9f18a76b30c9,data\processed\legislative\bill_text_pilot\3215328.txt,4,2315
social_services,2026,house,SB57,2073132,1678764,2026-04-08,Motion to Read a Third Time and Pass as Amended - Roll Call 1285,"Public assistance; Department of Human Resources required to request waiver to prohibit the purchase of soda and candy with SNAP benefits, implementation of prohibition provided for","Public assistance; Department of Human Resources required to request waiver to prohibit the purchase of soda and candy with SNAP benefits, implementation of prohibition provided for",0.0,1.0,1.0,75,27,https://legiscan.com/AL/text/SB57/id/3383977,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/SB57-eng.pdf,,,,,2218,2026 Regular Session,3383977,2026-03-04,Engrossed,application/pdf,81568,e7c55320f7f27118c76be5609df2495b,AL_2026-2026_Regular_Session_JSON_20260508_83dae6d8cabb24f080c0acbf9b47fb57.zip,2026-03-04,3,downloaded,data\raw\legiscan\bill_text_pilot\3383977.pdf,1e17ba98979f02ba58f5f543b4082abc32aa6ecc9077643b8d7fd0532bc28ffd,data\processed\legislative\bill_text_pilot\3383977.txt,5,5017
taxes_revenue,2026,senate,SB370,2135226,1673831,2026-03-31,Petition To Close Debate- Roll Call 989,"Tax increment districts, Major 21st Century Manufacturing Zone allowed to be located within a tax increment district without regard to size of district and further provides for use of ad valorem tax revenues collected within a district","Tax increment districts, Major 21st Century Manufacturing Zone allowed to be located within a tax increment district without regard to size of district and further provides for use of ad valorem tax revenues collected within a district",0.0,1.0,1.0,26,8,https://legiscan.com/AL/text/SB370/id/3409313,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/SB370-eng.pdf,,,,,2218,2026 Regular Session,3409313,2026-03-31,Engrossed,application/pdf,135014,58f389c415bf82fd6dd90f602d046569,AL_2026-2026_Regular_Session_JSON_20260508_83dae6d8cabb24f080c0acbf9b47fb57.zip,2026-03-31,3,downloaded,data\raw\legiscan\bill_text_pilot\3409313.pdf,14de445054a9fa6e83759e967523e9e31bc8e6d469623b36488b63dee914aa03,data\processed\legislative\bill_text_pilot\3409313.txt,24,36739
environment_energy,2026,senate,SB71,2073187,1622181,2026-02-03,Motion to Read a Third Time and Pass as Amended - Roll Call 229,Administrative rules; adopting environmental protection criteria stricter than federal requirements prohibited,Administrative rules; adopting environmental protection criteria stricter than federal requirements prohibited,0.0,1.0,1.0,27,7,https://legiscan.com/AL/text/SB71/id/3346772,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/SB71-eng.pdf,,,,,2218,2026 Regular Session,3346772,2026-02-03,Engrossed,application/pdf,88231,1884f5c75a6305f595966e8606190e0d,AL_2026-2026_Regular_Session_JSON_20260508_83dae6d8cabb24f080c0acbf9b47fb57.zip,2026-02-03,3,downloaded,data\raw\legiscan\bill_text_pilot\3346772.pdf,ad4cf38315b779c3f3c64c51231eac060c71e1df66823787b62691c3a0964aa5,data\processed\legislative\bill_text_pilot\3346772.txt,8,8618
school_choice,2024,senate,HB129,1838963,1404104,2024-03-06,Third Reading Second House,"Creating Hope and Opportunity for Our Students’ Education (CHOOSE) Act of 2024, established to provide education savings accounts (ESAs) for parents of children to use in providing education services for those children.","Creating Hope and Opportunity for Our Students’ Education (CHOOSE) Act of 2024, established to provide education savings accounts (ESAs) for parents of children to use in providing education services for those children.",0.0,1.0,1.0,26,8,https://legiscan.com/AL/text/HB129/id/2942965,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/HB129-eng.pdf,,,,,2103,Regular Session 2024,2942965,2024-02-28,Engrossed,application/pdf,129104,785155b33bf596d24e315250c15769b3,AL_2024-2024_Regular_Session_JSON_20240523_8163cf95b36859f0f327c0576e729221.zip,2024-02-28,3,downloaded,data\raw\legiscan\bill_text_pilot\2942965.pdf,07473ff4e9eecf5ef110033a6d6057b26af27614ef057d2a0f73b2bcbdb0dd42,data\processed\legislative\bill_text_pilot\2942965.txt,22,28032
criminal_justice,2023,senate,SB1,1685332,1300207,2023-03-23,Adopt,"Relating to correctional incentive time; to amend Section 14-9-41, as last amended by Act 2022-322, 2022 Regular Session, Code of Alabama 1975, to reduce the amount of correctional incentive time a prisoner receives; to require a prisoner to remain in a certain classification for a longer period of time before moving up to a higher classification; to provide for additional circumstances in which a prisoner may be required to forfeit his or her correctional incentive time; and to require the Department of Corrections to provide annual reports to the Legislature, the Governor, and the Attorney General regarding correctional incentive time.","Relating to correctional incentive time; to amend Section 14-9-41, as last amended by Act 2022-322, 2022 Regular Session, Code of Alabama 1975, to reduce the amount of correctional incentive time a prisoner receives; to require a prisoner to remain in a certain classification for a longer period of time before moving up to a higher classification; to provide for additional circumstances in which a prisoner may be required to forfeit his or her correctional incentive time; and to require the Department of Corrections to provide annual reports to the Legislature, the Governor, and the Attorney General regarding correctional incentive time.",1.0,0.0,1.0,4,25,https://legiscan.com/AL/text/SB1/id/2669102,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/SB1-int.pdf,,,,,2014,Regular Session 2023,2669102,2023-01-17,Introduced,application/pdf,595249,70cf313bbaf2a6113a7e0e2b5cd908dc,AL_2023-2023_Regular_Session_JSON_20230607_d17b533ce7196680956ab4bbbb4cfb99.zip,2023-01-17,1,downloaded,data\raw\legiscan\bill_text_pilot\2669102.pdf,5dd4d9553dc1ee01135b29b3c4b73d1f8360f5b2520b906b8e4958a90584e179,data\processed\legislative\bill_text_pilot\2669102.txt,10,11788
abortion,2024,house,HB356,1866396,1437008,2024-04-30,Motion to Read a Third Time and Pass as Amended - Roll Call 966,"Income tax, tax credit for voluntary cash contributions to pregnancy center or residential maternity facility","Income tax, tax credit for voluntary cash contributions to pregnancy center or residential maternity facility",0.0357142857142857,0.9866666666666668,0.950952380952381,75,28,https://legiscan.com/AL/text/HB356/id/2990105,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/HB356-eng.pdf,,,,,2103,Regular Session 2024,2990105,2024-04-30,Engrossed,application/pdf,101811,c5b0801df868075f9ebab55acd3a2fd3,AL_2024-2024_Regular_Session_JSON_20240523_8163cf95b36859f0f327c0576e729221.zip,2024-04-30,3,downloaded,data\raw\legiscan\bill_text_pilot\2990105.pdf,5ed5c9fd3aba32a4c1be72bf27f11dab531a453e311edbcdd10a68f90063b587,data\processed\legislative\bill_text_pilot\2990105.txt,8,9155
gambling,2024,senate,HB152,1840837,1405640,2024-03-07,Instrument Change Tabled,"Alabama Gaming Commission, established, duties provided for; casino-style games, sports wagering, and lottery games, regulated; gambling offenses, further provided","Alabama Gaming Commission, established, duties provided for; casino-style games, sports wagering, and lottery games, regulated; gambling offenses, further provided",0.7142857142857143,0.1666666666666666,0.5476190476190477,9,22,https://legiscan.com/AL/text/HB152/id/2930375,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/HB152-eng.pdf,,,,,2103,Regular Session 2024,2930375,2024-02-15,Engrossed,application/pdf,413824,6d770f83614773d317c01932c32454ed,AL_2024-2024_Regular_Session_JSON_20240523_8163cf95b36859f0f327c0576e729221.zip,2024-02-15,3,downloaded,data\raw\legiscan\bill_text_pilot\2930375.pdf,efac2bc3a4657e7b9f8d461ac47cddfbd8350d91484c7aced4457fb2bbc63412,data\processed\legislative\bill_text_pilot\2930375.txt,141,225296
