ontology_version,review_id,election_year,normalized_option,decision,primary_domain,policy_domains_json,policy_key,effects_json,confidence,response_mode,reviewer_notes,reviewed_at_utc
2.0.1,086F985BEC634E5D,2002,provide tax credits for businesses that provide child care for their employees.,adjudicated,childcare,"[""childcare"",""business"",""taxation""]",childcare_employer_tax_credit,"[{""axis"":""childcare_support"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""""},{""axis"":""childcare_delivery"",""pole"":""employer_incentive"",""strength"":""primary"",""rationale"":""""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""""}]",high,binary,Direct adjudication from original questionnaire wording; model outputs non-authoritative.,2026-08-17T02:50:10.959463+00:00
2.0.1,09F1B16E2750CB09,1998,"support ""buffer zones"" by requiring demonstrators to stay at least 15 feet away from abortion clinic doorways and driveways.",adjudicated,abortion,"[""abortion"",""civil_social""]",abortion_clinic_buffer_zone,"[{""axis"":""abortion_access"",""pole"":""expand"",""strength"":""primary"",""rationale"":""""},{""axis"":""civil_social_liberty"",""pole"":""restrict"",""strength"":""secondary"",""rationale"":""""}]",high,binary,Direct adjudication from original questionnaire wording; model outputs non-authoritative.,2026-08-17T02:50:10.959463+00:00
2.0.1,2E2B3DDA33D38BE7,2018,reducing state employee salaries and/or pensions?,adjudicated,labor,"[""labor"",""economy""]",reduce_state_employee_compensation,"[{""axis"":""public_employee_compensation"",""pole"":""reduce"",""strength"":""primary"",""rationale"":""""},{""axis"":""labor_capital_alignment"",""pole"":""capital_management"",""strength"":""secondary"",""rationale"":""""}]",high,binary,Direct adjudication from original questionnaire wording; model outputs non-authoritative.,2026-08-17T02:50:10.959463+00:00
2.0.1,2F08B4F9818E6D93,2006,decriminalize the possession of small amounts of marijuana.,adjudicated,criminal_justice,"[""criminal_justice""]",marijuana_possession_decriminalization,"[{""axis"":""drug_criminalization"",""pole"":""decriminalize"",""strength"":""primary"",""rationale"":""""}]",high,binary,Direct adjudication from original questionnaire wording; model outputs non-authoritative.,2026-08-17T02:50:10.959463+00:00
2.0.1,36D1F14014E5B45B,2010,do you support providing financial incentives to farms that produce biofuel crops?,adjudicated,energy,"[""energy"",""business"",""environment""]",biofuel_crop_incentives,"[{""axis"":""renewable_energy_support"",""pole"":""expand"",""strength"":""primary"",""rationale"":""""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""primary"",""rationale"":""""},{""axis"":""climate_energy"",""pole"":""decarbonization"",""strength"":""secondary"",""rationale"":""""}]",high,binary,Direct adjudication from original questionnaire wording; model outputs non-authoritative.,2026-08-17T02:50:10.959463+00:00
2.0.1,37789D41D1E3635D,2014,political action committee,adjudicated,government_reform,"[""government_reform""]",limit_pac_contributions,"[{""axis"":""campaign_finance_restrictions"",""pole"":""strengthen"",""strength"":""primary"",""rationale"":""""},{""axis"":""institutional_populism"",""pole"":""popular_control"",""strength"":""secondary"",""rationale"":""""}]",high,binary,Direct adjudication from original questionnaire wording; model outputs non-authoritative.,2026-08-17T02:50:10.959463+00:00
2.0.1,603FD902D633DD46,2014,"do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",adjudicated,energy,"[""energy"",""natural_resources"",""business"",""environment""]",fund_traditional_energy_development,"[{""axis"":""resource_development"",""pole"":""expand"",""strength"":""primary"",""rationale"":""""},{""axis"":""climate_energy"",""pole"":""fossil_expansion"",""strength"":""primary"",""rationale"":""""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""""},{""axis"":""business_scale_alignment"",""pole"":""large_business"",""strength"":""secondary"",""rationale"":""""}]",high,binary,Direct adjudication from original questionnaire wording; model outputs non-authoritative.,2026-08-17T02:50:10.959463+00:00
2.0.1,675D5E71D85475BC,2010,instituting mandatory furloughs and layoffs for state employees,adjudicated,labor,"[""labor"",""economy""]",state_employee_furloughs_layoffs,"[{""axis"":""public_employee_compensation"",""pole"":""reduce"",""strength"":""primary"",""rationale"":""""},{""axis"":""labor_capital_alignment"",""pole"":""capital_management"",""strength"":""secondary"",""rationale"":""""}]",high,binary,Direct adjudication from original questionnaire wording; model outputs non-authoritative.,2026-08-17T02:50:10.959463+00:00
2.0.1,7C88115BF8597BFE,2014,income taxes (mid-income families),adjudicated,taxation,"[""taxation""]",mid_income_tax_level,"[{""axis"":""tax_burden"",""pole"":""increase"",""strength"":""primary"",""rationale"":""""}]",high,ordinal,Direct adjudication from original questionnaire wording; model outputs non-authoritative.,2026-08-17T02:50:10.959463+00:00
2.0.1,7D3BFAF4AB67E2B6,2014,do you support the enforcement of federal immigration laws by state and local police?,adjudicated,immigration,"[""immigration"",""criminal_justice""]",local_enforcement_federal_immigration_law,"[{""axis"":""immigration_access"",""pole"":""restrict"",""strength"":""primary"",""rationale"":""""},{""axis"":""criminal_punishment"",""pole"":""punitive"",""strength"":""secondary"",""rationale"":""""}]",high,binary,Direct adjudication from original questionnaire wording; model outputs non-authoritative.,2026-08-17T02:50:10.959463+00:00
2.0.1,7FE6E08148272D4E,2014,reducing state employee salaries and/or pensions,adjudicated,labor,"[""labor"",""economy""]",reduce_state_employee_compensation,"[{""axis"":""public_employee_compensation"",""pole"":""reduce"",""strength"":""primary"",""rationale"":""""},{""axis"":""labor_capital_alignment"",""pole"":""capital_management"",""strength"":""secondary"",""rationale"":""""}]",high,binary,Direct adjudication from original questionnaire wording; model outputs non-authoritative.,2026-08-17T02:50:10.959463+00:00
2.0.1,850172B3EBD601E2,1998,provide increased funding for agricultural and forestry research.,adjudicated,natural_resources,"[""natural_resources"",""business"",""economy""]",agriculture_forestry_research_funding,"[{""axis"":""public_spending"",""pole"":""expand"",""strength"":""primary"",""rationale"":""""},{""axis"":""resource_management"",""pole"":""active_management"",""strength"":""primary"",""rationale"":""""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""""}]",high,binary,Direct adjudication from original questionnaire wording; model outputs non-authoritative.,2026-08-17T02:50:10.959463+00:00
2.0.1,86F73CED0D2C803E,2006,emergency preparedness,adjudicated,government_reform,"[""government_reform""]",emergency_preparedness_funding,"[{""axis"":""security_preparedness"",""pole"":""expand"",""strength"":""primary"",""rationale"":""""},{""axis"":""public_spending"",""pole"":""expand"",""strength"":""primary"",""rationale"":""""}]",high,ordinal,Direct adjudication from original questionnaire wording; model outputs non-authoritative.,2026-08-17T02:50:10.959463+00:00
