canonical_candidate_id,bundle_id,dimensions_observed,dimensions_used,bundle_label
AL-1994-house-87-D-MATHIS,1,3,6,high social traditionalism + low material redistribution
AL-1998-house-1-D-STARKEY,3,6,6,low racial and political equality + high social traditionalism
AL-1998-house-105-D-STRAUB,3,6,6,low racial and political equality + high social traditionalism
AL-1998-house-11-D-WHITE,2,6,6,high gun rights + high market and development autonomy
AL-1998-house-12-D-MORRISON,3,6,6,low racial and political equality + high social traditionalism
AL-1998-house-13-D-HOGAN,3,6,6,low racial and political equality + high social traditionalism
AL-1998-house-17-D-MILLICAN,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-18-D-MORROW,3,6,6,low racial and political equality + high social traditionalism
AL-1998-house-2-D-HAMILTON,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-21-D-JONES,3,6,6,low racial and political equality + high social traditionalism
AL-1998-house-22-D-HALL,3,6,6,low racial and political equality + high social traditionalism
AL-1998-house-23-D-ROBINSON,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-25-D-HAWK,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-26-D-MCDANIEL,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-27-D-MURPHREE,3,6,6,low racial and political equality + high social traditionalism
AL-1998-house-3-D-BLACK,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-30-D-GALLIHER,3,6,6,low racial and political equality + high social traditionalism
AL-1998-house-31-D-VENABLE,3,6,6,low racial and political equality + high social traditionalism
AL-1998-house-32-D-BOYD,1,6,6,high social traditionalism + low material redistribution
AL-1998-house-38-D-FULLER,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-49-D-BLAIR,6,4,6,low social traditionalism + high racial and political equality
AL-1998-house-5-D-CARTER,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-60-D-HILLIARD,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-62-D-TINGLE,3,6,6,low racial and political equality + high social traditionalism
AL-1998-house-63-D-STANLEY,3,5,6,low racial and political equality + high social traditionalism
AL-1998-house-64-D-WARREN,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-65-D-DOLBARE,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-72-D-HAYDEN,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-8-D-DUKES,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-80-D-VANCE,2,3,6,high gun rights + high market and development autonomy
AL-1998-house-86-D-CAROTHERS,3,6,6,low racial and political equality + high social traditionalism
AL-1998-house-87-D-MATHIS,1,6,6,high social traditionalism + low material redistribution
AL-1998-house-89-D-BOOTHE,3,6,6,low racial and political equality + high social traditionalism
AL-1998-house-95-D-PFEIFER,2,5,6,high gun rights + high market and development autonomy
AL-1998-senate-1-D-DENTON,1,6,6,high social traditionalism + low material redistribution
AL-1998-senate-13-D-DIAL,3,6,6,low racial and political equality + high social traditionalism
AL-1998-senate-14-D-ROBINSON,3,6,6,low racial and political equality + high social traditionalism
AL-1998-senate-16-D-JOHNS,4,6,6,low punitive law and order + high material redistribution
AL-1998-senate-2-D-BUTLER,2,3,6,high gun rights + high market and development autonomy
AL-1998-senate-22-D-LINDSEY,1,6,6,high social traditionalism + low material redistribution
AL-1998-senate-25-D-CHAPPELL,1,6,6,high social traditionalism + low material redistribution
AL-1998-senate-26-D-LANGFORD,2,3,6,high gun rights + high market and development autonomy
AL-1998-senate-31-D-HOLLEY,3,6,6,low racial and political equality + high social traditionalism
AL-1998-senate-6-D-BEDFORD,2,3,6,high gun rights + high market and development autonomy
AL-2002-house-104-D-WEBSTER-DANIEL-J,3,6,6,low racial and political equality + high social traditionalism
AL-2002-house-11-D-MAZE-DENNIS-E,3,6,6,low racial and political equality + high social traditionalism
AL-2002-house-22-D-HALL-ALBERT,6,5,6,low social traditionalism + high racial and political equality
AL-2002-house-26-D-MCDANIEL-FRANK,3,6,6,low racial and political equality + high social traditionalism
AL-2002-house-28-D-FORD-CRAIG,6,4,6,low social traditionalism + high racial and political equality
AL-2002-house-3-D-BLACK-MARCEL,6,5,6,low social traditionalism + high racial and political equality
AL-2002-house-31-D-VENABLE-JACK-B,2,3,6,high gun rights + high market and development autonomy
AL-2002-house-33-D-CURTIS-CLARA,3,6,6,low racial and political equality + high social traditionalism
AL-2002-house-35-D-HURST-STEVE,6,5,6,low social traditionalism + high racial and political equality
AL-2002-house-5-D-CARTER-TOMMY,6,4,6,low social traditionalism + high racial and political equality
AL-2002-house-59-D-MOORE-MARY,4,6,6,low punitive law and order + high material redistribution
AL-2002-house-65-D-DOLBARE-JEFF,6,5,6,low social traditionalism + high racial and political equality
AL-2002-house-74-D-OTT-RUTH-MITCHELL,6,6,6,low social traditionalism + high racial and political equality
AL-2002-house-76-D-MCCLAMMY-THAD,5,6,6,high material redistribution + low market and development autonomy
AL-2002-house-87-D-HUTTO-MICKEY-A,3,6,6,low racial and political equality + high social traditionalism
AL-2002-house-9-D-GRANTLAND-RONALD,6,5,6,low social traditionalism + high racial and political equality
AL-2002-house-91-D-SPICER-TERRY,6,5,6,low social traditionalism + high racial and political equality
AL-2002-senate-1-D-DENTON-BOBBY,1,5,6,high social traditionalism + low material redistribution
AL-2002-senate-10-D-MEANS-LARRY,1,5,6,high social traditionalism + low material redistribution
AL-2002-senate-17-D-MOORE-CAROLINE-B,3,6,6,low racial and political equality + high social traditionalism
AL-2002-senate-2-D-BUTLER-TOM,1,5,6,high social traditionalism + low material redistribution
AL-2002-senate-21-D-POOLE-PHIL,1,5,6,high social traditionalism + low material redistribution
AL-2002-senate-3-D-ROBERTS-TOMMY-ED,1,5,6,high social traditionalism + low material redistribution
AL-2002-senate-35-D-TANNER-GARY,3,6,6,low racial and political equality + high social traditionalism
AL-2002-senate-6-D-BEDFORD-ROGER,6,3,6,low social traditionalism + high racial and political equality
AL-2002-senate-7-D-ENFINGER-JEFF,1,5,6,high social traditionalism + low material redistribution
AL-2002-senate-9-D-MITCHEM-HINTON,1,5,6,high social traditionalism + low material redistribution
AL-2006-house-101-D-AMY-BECKERLE-SMITH,3,6,6,low racial and political equality + high social traditionalism
AL-2006-house-102-D-GARY-JOHNSON,3,6,6,low racial and political equality + high social traditionalism
AL-2006-house-13-D-TOMMY-SHERER,3,6,6,low racial and political equality + high social traditionalism
