reconciliation_id,build_run_id,source_file_id,source_member,state_code,cycle,parser_name,input_rows,output_candidate_rows,input_votes,output_votes,vote_delta,unknown_vote_rows,reconciliation_status,note
LREC-03B75C83EE2523E4656D,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-14D136FB4360EBA1BDBB,ar24.csv,AR,2024.0,parse_medsl_precinct_returns,20884,182,1622986,1622986,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-B1630251C765220BC53A,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-al-precinct-general.csv,AL,2020.0,parse_medsl_precinct_returns,0,0,0,0,0,0,not_available,Archive/member has no legislative rows for this state-year.
LREC-4B97E48B37779622425C,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-ar-precinct-general.csv,AR,2020.0,parse_medsl_precinct_returns,5601,167,1623036,1623036,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-F5FBD2D18146B8BC7D7F,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-fl-precinct-general.csv,FL,2020.0,parse_medsl_precinct_returns,33971,484,14973896,14973896,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-FBA5FDFE52B18DB5413D,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-ga-precinct-general.csv,GA,2020.0,parse_medsl_precinct_returns,34140,354,9060036,9060036,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-BC93E18A57CB98EEAA5D,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-ky-precinct-general.csv,KY,2020.0,parse_medsl_precinct_returns,3006,202,2853985,2853985,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-2526FA9C9035CCB4D5A9,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-la-precinct-general.csv,LA,2020.0,parse_medsl_precinct_returns,0,0,0,0,0,0,not_available,Archive/member has no legislative rows for this state-year.
LREC-B0AC21B80BBF4EB3C4B4,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-mo-precinct-general.csv,MO,2020.0,parse_medsl_precinct_returns,10468,288,4135304,4135304,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-4C7D993FE08DD479F197,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-ms-precinct-general.csv,MS,2020.0,parse_medsl_precinct_returns,0,0,0,0,0,0,not_available,Archive/member has no legislative rows for this state-year.
LREC-FD83F1AC459C1BD95296,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-nc-precinct-general.csv,NC,2020.0,parse_medsl_precinct_returns,66764,353,10610137,10610137,0,0,exact,0 malformed legislative precinct rows excluded to review.
