item_id,election_year,section,question,option_text,policy_key,dimension,affirmative_direction,coding_confidence,response_mode,coding_status,candidate_count,selected_response_count,priority
05C8A837AF03AF9B,1998.0,Health Issues,Indicate which principles you support (if any) regarding health issues.,a) Provide tax incentives to small businesses that provide health care to their employees.,,,,,,unmapped,74,59,59074
579C281C8E2BBC91,1998.0,Social Issues,Indicate which principles you support (if any) regarding social issues.,d) Deny or suspend state-issued permits and licenses to parents who are delinquent in paying court-ordered child support.,,,,,,unmapped,74,53,53074
8D1049BD8BCE4B73,1998.0,Social Issues,Indicate which principles you support (if any) regarding social issues.,b) Provide tax credits for businesses that provide child care for their employees.,,,,,,unmapped,74,52,52074
5B6386CFF54E9DFC,1998.0,Welfare,Indicate which principles you support (if any) regarding welfare.,d) Provide tax incentives to businesses that hire welfare recipients.,,,,,,unmapped,74,49,49074
7B485357A6148D5B,1998.0,Education,Indicate which principles you support (if any) regarding education.,j) Support state-funded merit scholarships for Alabama students to attend college in Alabama.,,,,,,unmapped,74,48,48074
8FE45B5B4236E21A,1998.0,Economy and Employment,Indicate which principles you support (if any) concerning the economy and employment.,e) Provide increased funding for agricultural and forestry research.,,,,,,unmapped,74,46,46074
703080EF47C0B546,2002.0,Employment and Affirmative Action Issues,"Employment: Indicate which principles you support (if any) concerning employment.Affirmative Action: Should race, ethnicity or gender be taken into account in state agencies' decisions on:",d) Provide tax credits for businesses that provide child care for their employees.,,,,,,unmapped,62,39,39062
FB3A46C8048879B9,2006.0,Budget and Tax Issues,State Budget: Indicate the funding levels (#1-6) you will support for the following general categories. Select one level per category.State Taxes: Indicate the tax levels (#1-6) you will support. Select one level per tax.,c) Emergency preparedness,,,,,,unmapped,42,39,39042
DE0503F4CFE84635,2006.0,Budget and Tax Issues,State Budget: Indicate the funding levels (#1-6) you will support for the following general categories. Select one level per category.State Taxes: Indicate the tax levels (#1-6) you will support. Select one level per tax.,n) Should fee increases be used to balance the state budget?,,,,,,unmapped,42,39,39042
28F261ADB2146D8A,2002.0,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,c) Provide tax incentives to businesses that hire welfare recipients.,,,,,,unmapped,62,34,34062
22F138B0C2A8CC22,2002.0,Crime Issues,Indicate which principles you support (if any) to address crime.,i) Support the lower .08 blood-alcohol-content limit defining drunk driving.,,,,,,unmapped,62,30,30062
B00DC0416B5F9341,1998.0,Environment & Energy,Indicate which principles you support (if any) regarding the environment and energy.,h) Restructure the electric utility industry to allow consumers to choose their power company.,,,,,,unmapped,74,29,29074
AB411144943313BB,2002.0,Crime Issues,Indicate which principles you support (if any) to address crime.,n) Increase state funding for additional security of critical infrastructure against terrorist attacks.,,,,,,unmapped,62,28,28062
A68A99893AC4F1D0,2002.0,Educational Issues,Indicate which principles you support (if any) regarding education.,l) Support a constitutional amendment giving communities control over local school funding and standards.,,,,,,unmapped,62,28,28062
2A6B6A7FF26A07B5,2006.0,Crime Issues,Indicate which principles you support (if any) regarding crime.,n) Criminalize the employment of an undocumented immigrant in Alabama.,,,,,,unmapped,42,27,27042
0BC4F19BEFC7D5DF,2002.0,Crime Issues,Indicate which principles you support (if any) to address crime.,b) Support contracting with private sector firms to build and/or manage state prisons.,,,,,,unmapped,62,25,25062
C6538F6695F1D751,2006.0,Crime Issues,Indicate which principles you support (if any) regarding crime.,k) Increase state funding for state and local emergency agencies to prevent or respond to terrorism.,,,,,,unmapped,42,25,25042
637F175D8A45FC8C,2002.0,Health Issues,Indicate which principles you support (if any) regarding health issues.,h) Increase state funding for training health workers to recognize and respond to the release of biological agents.,,,,,,unmapped,62,24,24062
21300F58260C2989,2010.0,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,a) Do you support limits on the number of terms for Alabama governors?,,,,,,unmapped,24,23,23024
8907822F514C9592,2010.0,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,2) Political Action Committee,,,,,,unmapped,24,23,23024
3EFFEF4B6783874F,2010.0,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,4) Political Party,,,,,,unmapped,24,23,23024
00A1859C0A136045,2010.0,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,d) Should candidates for state office be encouraged to meet voluntary spending limits?,,,,,,unmapped,24,23,23024
EE612BD9684746A7,2010.0,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,f) Should the Alabama Ethics Commission have the power of subpoena?,,,,,,unmapped,24,23,23024
495D4F4E0992082F,2010.0,Crime and Public Safety Issues,,"b) Do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",,,,,,unmapped,24,23,23024
6544FB8C7FA729F8,2010.0,Economic Issues,,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,,,,,,unmapped,24,23,23024
91117E0BB07412C6,2010.0,Economic Issues,,e) Do you support increased spending on infrastructure projects for the purpose of job creation?,,,,,,unmapped,24,23,23024
713292C77BD726B4,2010.0,Social Issues,,a) Should marriage only be between one man and one woman?,,,,,,unmapped,24,23,23024
FDC1B482BB151DAC,2010.0,Social Issues,,e) Do you support the state's use of affirmative action?,,,,,,unmapped,24,23,23024
3E752E2131382EE6,2002.0,Crime Issues,Indicate which principles you support (if any) to address crime.,g) Decriminalize the use of marijuana for medicinal purposes.,,,,,,unmapped,62,22,22062
F251729803D7F674,2002.0,Crime Issues,Indicate which principles you support (if any) to address crime.,l) Ban the use of racial profiling by law enforcement officers.,,,,,,unmapped,62,22,22062
A880A0515F7E65EB,2010.0,"Budget, Spending, and Tax Issues",1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,b) Regulating and taxing gaming proceeds,,,,,,unmapped,24,22,22024
40C197B017A3F4D5,2010.0,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,b) Do you support limits on the number of terms for Alabama state legislators?,,,,,,unmapped,24,22,22024
6E5CC7332CE55BF6,2010.0,Crime and Public Safety Issues,,c) Should the possession of small amounts of marijuana be decriminalized?,,,,,,unmapped,24,22,22024
E649567161298AC1,2010.0,Crime and Public Safety Issues,,d) Do you support increasing penalties for illegal cockfighting?,,,,,,unmapped,24,22,22024
1A0B5902E383F2C1,2010.0,Crime and Public Safety Issues,,f) Should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,,,,,,unmapped,24,22,22024
72073BD65A7C68A0,2010.0,Crime and Public Safety Issues,,g) Do you support the enforcement of federal immigration laws by state and local police?,,,,,,unmapped,24,22,22024
4539D61A4679A861,2010.0,Environment and Energy Issues,,"b) Do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",,,,,,unmapped,24,22,22024
